Sample,Forest,Species,Replicate
THB_BET.kraken,Thetford,Betula_pendula,TH_BET
THA_OAK.kraken,Thetford,Quercus_robur,TH_OAK
THC_OAK.kraken,Thetford,Quercus_robur,TH_OAK
THA_BEE.kraken,Thetford,Fagus_sylvatica,TH_BEE
BWB_BEE.kraken,Bishops_Wood,Fagus_sylvatica,BW_BEE
BWC_OAK.kraken,Bishops_Wood,Quercus_robur,BW_OAK
BWC_BEE.kraken,Bishops_Wood,Fagus_sylvatica,BW_BEE
BWA_BET.kraken,Bishops_Wood,Betula_pendula,BW_BET
AHC_HAZ.kraken,Alice_Holt,Corylus_avellana,AH_HAZ
AHB_BEE.kraken,Alice_Holt,Fagus_sylvatica,AH_BEE
AHC_ASH.kraken,Alice_Holt,Fraxinus_excelsior,AH_ASH
THA_ASH.kraken,Thetford,Fraxinus_excelsior,TH_ASH
BWB_HAZ.kraken,Bishops_Wood,Corylus_avellana,BW_HAZ
AHB_BET.kraken,Alice_Holt,Betula_pendula,AH_BET
THB_BEE.kraken,Thetford,Fagus_sylvatica,TH_BEE
BWA_ASH.kraken,Bishops_Wood,Fraxinus_excelsior,BW_ASH
AHA_BEE.kraken,Alice_Holt,Fagus_sylvatica,AH_BEE
BWC_BET.kraken,Bishops_Wood,Betula_pendula,BW_BET
AHA_BET.kraken,Alice_Holt,Betula_pendula,AH_BET
BWA_HAZ.kraken,Bishops_Wood,Corylus_avellana,BW_HAZ
BWC_ASH.kraken,Bishops_Wood,Fraxinus_excelsior,BW_ASH
BWA_OAK.kraken,Bishops_Wood,Quercus_robur,BW_OAK
AHA_OAK.kraken,Alice_Holt,Quercus_robur,AH_OAK
BWC_HAZ.kraken,Bishops_Wood,Corylus_avellana,BW_HAZ
AHA_HAZ.kraken,Alice_Holt,Corylus_avellana,AH_HAZ
AHB_ASH.kraken,Alice_Holt,Fraxinus_excelsior,AH_ASH
AHC_OAK.kraken,Alice_Holt,Quercus_robur,AH_OAK
BWA_BEE.kraken,Bishops_Wood,Fagus_sylvatica,BW_BEE
THA_BET.kraken,Thetford,Betula_pendula,TH_BET
AHA_ASH.kraken,Alice_Holt,Fraxinus_excelsior,AH_ASH
THB_OAK.kraken,Thetford,Quercus_robur,TH_OAK
THB_ASH.kraken,Thetford,Fraxinus_excelsior,TH_ASH
BWB_ASH.kraken,Bishops_Wood,Fraxinus_excelsior,BW_ASH
AHB_OAK.kraken,Alice_Holt,Quercus_robur,AH_OAK
BWB_OAK.kraken,Bishops_Wood,Quercus_robur,BW_OAK
AHC_BET.kraken,Alice_Holt,Betula_pendula,AH_BET
BWB_BET.kraken,Bishops_Wood,Betula_pendula,BW_BET
THC_ASH.kraken,Thetford,Fraxinus_excelsior,TH_ASH
THC_BEE.kraken,Thetford,Fagus_sylvatica,TH_BEE
